Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Titanium Silicide (Ti5Si3),4.32,2130.0,0.55,22.0,9.5,,,Non,0.0,0.0,0.0,2130.0,0.0,0.0
Titanium(IV) Bromide,3.25,38.0,0.55,0.15,90.0,,,Non,0.0,0.0,0.0,233.0,0.0,0.0
Titanium(IV) Chloride,1.72,-24.0,0.75,0.1,100.0,,,Non,0.0,0.0,0.0,136.0,0.0,0.0
Titanium(IV) Iodide,4.3,150.0,0.45,0.2,80.0,,,Non,0.0,0.0,0.0,377.0,0.0,0.0
Titanium-Aluminum (Ti-6Al-2Sn),4.54,1660.0,0.52,7.0,9.0,,,Non,0.0,0.0,0.0,1660.0,0.0,0.0
Titanium-Vanadium (Ti-15V-3Cr),4.76,1650.0,0.52,8.0,9.7,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Toluene,0.87,-95.0,1.7,0.13,4.0,480.0,,,,0.0,,40.5,,
Tool Steel (D2),7.7,1420.0,0.46,20.0,10.1,,,Non,0.0,0.0,0.0,1420.0,0.0,0.0
Tool Steel (H13),7.8,1425.0,0.46,24.0,10.4,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
Tophet A,8.41,1400.0,0.45,13.2,14.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Toughened Nylon 6,1.08,220.0,1.8,0.22,95.0,380.0,410.0,HB,20.0,45.0,8.0,390.0,32.0,90.0
Travertine,2.4,,0.85,1.9,8.5,,,Non,0.0,0.0,0.0,825.0,0.0,0.0
Tribaloy T-400,8.97,1290.0,0.4,11.0,11.0,,,Non,0.0,0.0,0.0,1290.0,0.0,0.0
Tribaloy T-800,8.6,1285.0,0.4,12.0,10.5,,,Non,0.0,0.0,0.0,1285.0,0.0,0.0
Tricalcium Phosphate,3.14,1670.0,0.82,1.0,12.5,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0
Trichloroethylene,1.46,-85.0,0.95,0.12,,410.0,,,,0.0,87.0,0.0,,
Triethylene Glycol Dinitrate,1.33,-19.0,1.6,0.18,,,240.0,,,100.0,10.0,240.0,8.0,
Tuff,1.8,,0.95,0.6,7.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Tung Oil,0.94,,1.8,0.16,,285.0,450.0,HB,17.0,550.0,8.0,320.0,37.0,300.0
Tungsten,19.3,3422.0,0.13,173.0,4.5,,,Non,0.0,0.0,0.0,3422.0,0.0,0.0
Tungsten Boride (WB),15.3,2860.0,0.15,35.0,7.2,,,Non,0.0,0.0,0.0,2860.0,0.0,0.0
Tungsten Carbide,15.6,2870.0,0.2,100.0,5.0,,,Non,0.0,0.0,0.0,2870.0,0.0,0.0
Tungsten Carbide (10% Co),14.5,2800.0,0.215,92.5,5.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Tungsten Carbide (15% Co),14.0,2750.0,0.235,85.0,5.6,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Tungsten Carbide (6% Co),14.9,2870.0,0.2,100.0,5.4,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Tungsten Carbide (Nickel Binder),14.7,2850.0,0.2,100.0,5.4,,,Non,0.0,0.0,0.0,2850.0,0.0,0.0
Tungsten Diboride (WB2),10.8,2365.0,0.22,22.0,7.5,,,Non,0.0,0.0,0.0,2365.0,0.0,0.0
Tungsten Disilicide,9.3,2160.0,0.18,35.0,7.5,,,Non,0.0,0.0,0.0,2160.0,0.0,0.0
Tungsten Disilicide (WSi2),9.3,2160.0,0.25,40.0,7.9,,,Non,0.0,0.0,0.0,2160.0,0.0,0.0
Tungsten Disulfide,7.5,1250.0,0.3,25.0,8.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Tungsten Fiber,19.3,3410.0,0.13,170.0,4.5,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Tungsten Silicide,14.5,2324.0,0.18,30.0,7.2,,,Non,0.0,0.0,0.0,2324.0,0.0,0.0
Tungsten Silicide (W5Si3),14.5,2324.0,0.18,30.0,7.2,,,Non,0.0,0.0,0.0,2324.0,0.0,0.0
Tungsten Trioxide,7.16,1473.0,0.2,2.5,4.5,,,Non,0.0,0.0,0.0,1473.0,0.0,0.0
Tungsten-25Re,19.7,3120.0,0.14,100.0,6.0,,,Non,0.0,0.0,0.0,3120.0,0.0,0.0
Tungsten-3Re,19.3,3380.0,0.13,165.0,4.6,,,Non,0.0,0.0,0.0,3380.0,0.0,0.0
Tungsten-Copper (80/20),15.6,1083.0,0.16,210.0,8.0,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Tungsten-Copper Composite,14.8,1083.0,0.18,200.0,8.5,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Tungsten-Heavy Alloy (90W),17.0,3400.0,0.14,110.0,4.8,,,Non,0.0,0.0,0.0,3400.0,0.0,0.0
Tungsten-Heavy Alloy (95W),18.0,3410.0,0.13,125.0,4.6,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Tungsten-Rhenium (W-26Re),19.7,3120.0,0.14,100.0,6.0,,,Non,0.0,0.0,0.0,3120.0,0.0,0.0
Tungsten-Silver Composite,15.1,961.0,0.15,250.0,9.0,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Turpentine,0.86,,1.75,0.13,,35.0,253.0,HB,15.0,750.0,0.0,160.0,40.0,450.0
UMCo-50,8.05,1380.0,0.46,15.0,14.2,,,Non,0.0,0.0,0.0,1380.0,0.0,0.0
Udimet 500,8.03,1340.0,0.46,11.1,12.8,,,Non,0.0,0.0,0.0,1340.0,0.0,0.0
Udimet 700,7.95,1350.0,0.46,11.5,13.0,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Uranium,19.1,1132.0,0.12,27.0,13.9,,100.0,V-0,0.0,0.0,0.0,1132.0,15.0,200.0
Uranium Boride (UB4),9.35,2500.0,0.2,20.0,9.5,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Uranium Carbides (Mixed),13.6,2400.0,0.2,20.0,11.0,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Uranium Dioxide (UO2),10.97,2865.0,0.24,8.5,10.0,,,Non,0.0,0.0,0.0,2865.0,0.0,0.0
Uranium Hydride,10.9,,0.25,8.5,14.5,,,Non,0.0,0.0,0.0,250.0,0.0,0.0
Uranium Silicide,12.5,1600.0,0.12,10.0,12.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Urea Formaldehyde Foam,0.01,,1.3,0.03,,,,V-0,32.0,150.0,40.0,250.0,16.0,20.0
Urea Resin,1.45,,1.25,0.35,45.0,,,V-0,32.0,150.0,40.0,250.0,16.0,20.0
Urea-Formaldehyde,1.5,,1.4,0.35,30.0,500.0,530.0,V-0,35.0,10.0,45.0,250.0,15.0,10.0
Urea-Formaldehyde Glue,1.3,,1.3,0.2,50.0,,,V-0,35.0,80.0,40.0,230.0,15.0,20.0
Urethane Rubber (Polyester),1.2,,1.75,0.2,140.0,,400.0,HB,20.0,400.0,18.0,280.0,28.0,120.0
Urethane Rubber (Polyether),1.15,,1.8,0.22,150.0,,380.0,HB,19.0,450.0,15.0,260.0,30.0,150.0
Vanadium,6.11,1910.0,0.49,31.0,8.3,,,Non,0.0,0.0,0.0,1910.0,0.0,0.0
Vanadium Boride (VB2),5.1,2450.0,0.45,20.0,9.2,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Vanadium Carbide,5.77,2810.0,0.45,12.0,7.2,,,Non,0.0,0.0,0.0,2810.0,0.0,0.0
Vanadium Diboride (VB2),5.1,2400.0,0.65,35.0,9.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Vanadium Hydride,5.5,1000.0,0.45,10.0,9.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Vanadium Metal,6.11,1910.0,0.49,31.0,8.3,,,Non,0.0,0.0,0.0,1910.0,0.0,0.0
Vanadium Silicide,5.65,1935.0,0.49,18.0,9.2,,,Non,0.0,0.0,0.0,1935.0,0.0,0.0
Vanadium Silicide (V3Si),5.65,1935.0,0.49,18.0,9.2,,,Non,0.0,0.0,0.0,1935.0,0.0,0.0
Vanadium(V) Oxide,3.36,690.0,0.75,0.5,25.0,,,Non,0.0,0.0,0.0,690.0,0.0,0.0
Vanadium-Ti-Cr Alloy,6.05,1890.0,0.49,28.0,9.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0
Vermiculite (Exfoliated),0.1,1300.0,0.95,0.06,10.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Vicalloy,8.2,950.0,0.42,20.0,10.0,,,Non,0.0,0.0,0.0,950.0,0.0,0.0
Vinyl Acetate,0.93,-93.0,1.95,0.16,-8.0,402.0,,,,0.0,,22.5,,
Vinyl Chloride,0.91,-154.0,1.35,0.13,-78.0,472.0,,,,0.0,-13.0,18.5,,
Vinyl Ester,1.15,120.0,1.2,0.2,65.0,370.0,420.0,HB,20.0,130.0,15.0,350.0,32.0,120.0
Vinyl Ester (Carbon Filled),1.5,,1.1,3.5,12.0,390.0,440.0,V-0,32.0,90.0,45.0,400.0,29.0,20.0
Vinyl Ester (Glass Filled),1.85,,1.0,0.4,25.0,380.0,430.0,V-0,28.0,120.0,35.0,380.0,28.0,25.0
Vinyl Ester Resin,1.15,,1.25,0.22,60.0,,480.0,V-0,28.0,300.0,25.0,350.0,28.0,25.0
Vinyl Siding (PVC),1.4,,1.1,0.16,70.0,,430.0,V-0,45.0,300.0,30.0,250.0,17.5,15.0
Vinyl Tile (LVT),1.5,,1.15,0.18,80.0,,440.0,V-0,42.0,400.0,35.0,240.0,16.5,25.0
Vitallium,8.3,1350.0,0.45,13.0,12.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Viton (FKM),1.85,,1.2,0.22,210.0,480.0,520.0,V-0,50.0,40.0,35.0,450.0,15.0,15.0
Vitreous Carbon,1.5,,0.75,6.0,2.5,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Vitreous China,2.4,1250.0,0.85,1.3,5.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
W-ThO2 (2%),19.0,3400.0,0.13,160.0,4.6,,,Non,0.0,0.0,0.0,3400.0,0.0,0.0
Waspaloy,8.19,1330.0,0.45,10.5,12.2,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Water (Steam),0.0006,100.0,2.0,0.02,,,,,,0.0,,0.0,,
Weathering Steel (Corten),7.85,1500.0,0.48,48.0,12.0,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Western Red Cedar,0.38,,1.75,0.09,2.8,245.0,350.0,HB,23.0,40.0,21.0,290.0,17.2,70.0
White Oak (Solid),0.72,,1.6,0.17,4.5,260.0,370.0,HB,24.0,60.0,25.0,310.0,19.5,100.0
Wicker (Willow),0.3,,1.85,0.07,,235.0,335.0,HB,21.0,100.0,18.0,260.0,17.0,180.0
Wood (Alder),0.45,,1.7,0.11,3.2,245.0,350.0,HB,22.0,70.0,20.0,280.0,17.8,110.0
Wood (Ash),0.67,,1.6,0.16,3.6,255.0,360.0,HB,23.0,65.0,23.0,290.0,18.5,100.0
Wood (Balsa),0.16,,2.15,0.05,4.0,210.0,240.0,HB,20.0,75.0,18.0,220.0,19.0,135.0
Wood (Basswood),0.42,,1.75,0.1,3.0,240.0,340.0,HB,22.0,75.0,19.0,275.0,17.2,130.0
Wood (Beech),0.72,,1.55,0.17,4.2,260.0,370.0,HB,24.0,80.0,26.0,300.0,19.2,115.0
Wood (Birch),0.67,,1.6,0.16,3.8,255.0,360.0,HB,23.0,75.0,23.0,290.0,18.5,110.0
Wood (Cherry),0.58,,1.65,0.14,3.4,250.0,360.0,HB,23.0,65.0,22.0,290.0,18.2,100.0
Wood (Chestnut),0.55,,1.65,0.13,3.5,250.0,355.0,HB,23.0,55.0,22.0,290.0,18.0,90.0
Wood (Cottonwood),0.4,,1.75,0.1,2.8,235.0,340.0,HB,21.0,80.0,18.0,270.0,17.0,140.0
Wood (Cypress),0.51,,1.7,0.12,3.4,250.0,355.0,HB,23.0,45.0,22.0,290.0,18.0,80.0
Wood (Ebony),1.2,,1.35,0.18,4.5,280.0,390.0,HB,26.0,40.0,35.0,320.0,20.0,60.0
Wood (Elm),0.6,,1.65,0.14,3.6,255.0,360.0,HB,23.0,70.0,23.0,295.0,18.5,100.0
Wood (Hickory),0.82,,1.5,0.18,4.5,270.0,380.0,HB,25.0,75.0,28.0,310.0,20.0,100.0
Wood (Larch),0.59,,1.65,0.13,3.8,255.0,360.0,HB,23.0,60.0,23.0,300.0,18.5,95.0
Wood (Mahogany),0.6000000000000001,,1.9000000000000001,0.14500000000000002,4.15,225.0,265.0,HB,20.5,77.5,25.0,255.0,19.5,105.0
Wood (Maple),0.7,,1.6,0.17,4.0,260.0,370.0,HB,24.0,70.0,25.0,300.0,19.0,105.0
Wood (Oak),0.75,,2.0,0.17,4.0,230.0,270.0,HB,22.0,100.0,25.0,250.0,19.0,100.0
Wood (Pine),0.45,,2.3,0.12,5.0,220.0,250.0,HB,20.0,120.0,20.0,240.0,20.0,130.0
Wood (Poplar),0.45,,1.7,0.11,3.2,240.0,345.0,HB,22.0,70.0,20.0,280.0,17.5,120.0
Wood (Redwood),0.42,,1.75,0.1,3.0,245.0,350.0,HB,23.0,40.0,20.0,285.0,17.5,70.0
Wood (Spruce),0.45,,1.7,0.11,3.2,250.0,355.0,HB,22.0,50.0,21.0,290.0,17.8,85.0
Wood (Teak),0.66,,1.8250000000000002,0.14500000000000002,4.5,230.0,270.0,HB,21.0,70.0,28.0,260.0,20.0,90.0
Wood (Walnut),0.64,,1.6,0.15,3.5,260.0,370.0,HB,24.0,60.0,24.0,300.0,18.8,95.0
Wood (Willow),0.42,,1.75,0.1,2.8,240.0,345.0,HB,22.0,80.0,19.0,275.0,17.2,120.0
Wood Pellets,0.65,,1.6,0.15,,,280.0,HB,24.0,100.0,20.0,300.0,19.0,150.0
Wood Wool Board,0.45,,1.7,0.09,,,,B-1,40.0,50.0,30.0,250.0,16.0,25.0
Wool Carpet Fiber,1.3,,1.35,0.05,,,590.0,HB,25.0,100.0,35.0,250.0,20.0,60.0
Wrought Al 2014,2.8,507.0,0.88,154.0,23.0,,,Non,0.0,0.0,0.0,507.0,0.0,0.0
Wrought Al 3003,2.73,643.0,0.89,193.0,23.2,,,Non,0.0,0.0,0.0,643.0,0.0,0.0
Wrought Al 5083,2.66,591.0,0.9,121.0,24.2,,,Non,0.0,0.0,0.0,591.0,0.0,0.0
Wrought Al 5086,2.66,585.0,0.9,127.0,23.9,,,Non,0.0,0.0,0.0,585.0,0.0,0.0
Wrought Al 6063,2.7,616.0,0.9,201.0,23.4,,,Non,0.0,0.0,0.0,616.0,0.0,0.0
Wrought Al 7050,2.83,490.0,0.86,120.0,23.5,,,Non,0.0,0.0,0.0,490.0,0.0,0.0
Wrought Iron,7.75,1530.0,0.455,59.5,12.0,,,Non,0.0,0.0,0.0,1530.0,0.0,0.0
Xenon (Liquid),2.94,-112.0,0.16,0.07,,,,,,0.0,,0.0,,
Xylene (m),0.86,-48.0,1.75,0.14,27.0,527.0,,,,2.0,,40.8,,
Xylene (o),0.88,-25.0,1.75,0.15,32.0,463.0,,,,2.0,,40.8,,
Xylene (p),0.86,13.0,1.75,0.14,27.0,528.0,,,,2.0,,40.8,,
Ytterbium (Pure),6.9,819.0,0.15,35.0,26.3,,,Non,0.0,0.0,0.0,819.0,0.0,0.0
Ytterbium Boride (YbB6),6.55,1970.0,0.35,45.0,6.5,,,Non,0.0,0.0,0.0,1970.0,0.0,0.0
Ytterbium Hexaboride (YbB6),6.45,2340.0,0.32,22.0,9.5,,,Non,0.0,0.0,0.0,2340.0,0.0,0.0
Ytterbium Hydride,8.55,1000.0,0.2,5.8,9.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Ytterbium Iron Garnet (YbIG),7.1,1535.0,0.3,5.5,9.8,,,Non,0.0,0.0,0.0,1535.0,0.0,0.0
Ytterbium Oxide (Yb2O3),9.17,2435.0,0.25,12.0,8.5,,,Non,0.0,0.0,0.0,2435.0,0.0,0.0
Ytterbium Silicide,8.95,1000.0,0.15,10.0,8.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Yttria (Fully Dense),5.01,2425.0,0.45,15.0,8.0,,,Non,0.0,0.0,0.0,2425.0,0.0,0.0
Yttria (Y2O3),5.01,2425.0,0.45,15.0,8.0,,,Non,0.0,0.0,0.0,2425.0,0.0,0.0
Yttrium (Pure),4.47,1522.0,0.3,17.0,10.6,,,Non,0.0,0.0,0.0,1522.0,0.0,0.0
Yttrium Aluminum Garnet (YAG),4.55,1970.0,0.5966666666666667,13.333333333333334,7.6000000000000005,,,Non,0.0,0.0,0.0,1970.0,0.0,0.0
Yttrium Boride (YB6),3.65,2300.0,0.75,35.0,6.0,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0
Yttrium Hexaboride (YB6),3.65,2300.0,0.75,30.0,6.5,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0
Yttrium Hydride,4.3,1000.0,0.55,15.0,9.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Yttrium Iron Garnet (YIG),5.17,1550.0,0.55,6.0,10.2,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Yttrium Orthosilicate (YSO),4.45,2000.0,0.55,4.5,8.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Yttrium Oxide (Y2O3),5.01,2430.0,0.45,13.0,8.1,,,Non,0.0,0.0,0.0,2430.0,0.0,0.0
Yttrium Silicide,4.55,1600.0,0.55,15.0,9.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Zinc (99.9%),7.14,419.0,0.39,116.0,30.0,,,Non,0.0,0.0,0.0,419.0,0.0,0.0
Zinc (Rolled),7.14,419.0,0.39,116.0,30.0,,,Non,0.0,0.0,0.0,419.0,0.0,0.0
Zinc Alloy (Zamak 3),6.6,381.0,0.41,113.0,27.4,,,Non,0.0,0.0,0.0,381.0,0.0,0.0
Zinc Alumino Silicate (Gahnite),4.6,1930.0,0.55,10.0,7.5,,,Non,0.0,0.0,0.0,1930.0,0.0,0.0
Zinc Bromide,4.2,394.0,0.45,1.2,38.0,,,Non,0.0,0.0,0.0,394.0,0.0,0.0
Zinc Carbonate (Smithsonite),4.4,,0.55,2.8,14.0,,,Non,0.0,0.0,0.0,300.0,0.0,0.0
Zinc Chloride,2.91,290.0,0.65,1.5,35.0,,,Non,0.0,0.0,0.0,290.0,0.0,0.0
Zinc Ferrite (ZnFe2O4),5.33,1590.0,0.5,3.5,10.5,,,Non,0.0,0.0,0.0,1590.0,0.0,0.0
Zinc Iodide,4.74,446.0,0.35,1.0,42.0,,,Non,0.0,0.0,0.0,446.0,0.0,0.0
Zinc Oxide (Ceramic),5.61,1975.0,0.5,54.0,4.0,,,Non,0.0,0.0,0.0,1975.0,0.0,0.0
Zinc Oxide (ZnO),5.61,1975.0,0.5,54.0,4.0,,,Non,0.0,0.0,0.0,1975.0,0.0,0.0
Zinc Oxide Crystal,5.61,1975.0,0.5,54.0,4.0,,,Non,0.0,0.0,0.0,1975.0,0.0,0.0
Zinc Phosphide,4.55,,0.45,0.3,,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Zinc Powder,7.14,419.0,0.39,116.0,30.0,,460.0,Non,0.0,0.0,0.0,419.0,5.0,0.0
Zinc Selenide,5.27,1525.0,0.35,18.0,7.1,,,Non,0.0,0.0,0.0,1525.0,0.0,0.0
Zinc Selenide Crystal,5.27,1525.0,0.34,18.0,7.1,,,Non,0.0,0.0,0.0,1525.0,0.0,0.0
Zinc Silicide,5.55,1000.0,0.45,12.0,12.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Zinc Stannate (ZnSnO3),6.4,1300.0,0.45,2.8,10.5,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Zinc Sulfide (Sphalerite),4.09,1850.0,0.45,25.0,6.6,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zinc Sulfide Crystal,4.09,1185.0,0.47,27.0,6.6,,,Non,0.0,0.0,0.0,1185.0,0.0,0.0
Zinc Telluride,6.34,1295.0,0.25,11.0,8.2,,,Non,0.0,0.0,0.0,1295.0,0.0,0.0
Zinc Titanate (ZnTiO3),5.15,1300.0,0.5,3.5,9.5,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Zinc Tungstate Crystal,7.62,1190.0,0.3,1.5,12.0,,,Non,0.0,0.0,0.0,1190.0,0.0,0.0
Zinc-Aluminum Alloy (ZA-27),5.0,375.0,0.45,125.0,26.0,,,Non,0.0,0.0,0.0,375.0,0.0,0.0
Zircaloy-2,6.55,1850.0,0.28,13.0,6.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zircaloy-4,6.56,1850.0,0.28,14.0,6.1,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zircon (ZrSiO4),4.65,2550.0,0.55,4.5,4.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Zirconia,5.68,2715.0,0.4,2.0,10.0,,,Non,0.0,0.0,0.0,2715.0,0.0,0.0
Zirconia (Ceria Stabilized),6.2,2500.0,0.4,2.0,11.0,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Zirconia (Magnesia Stabilized),5.75,2600.0,0.45,2.5,10.5,,,Non,0.0,0.0,0.0,2600.0,0.0,0.0
Zirconia (PSZ),5.75,2700.0,0.45,2.2,10.2,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Zirconia (Toughened Alumina),4.2,1950.0,0.75,22.0,8.5,,,Non,0.0,0.0,0.0,1950.0,0.0,0.0
Zirconia (Yttria Stabilized),5.975,2700.0,0.45,2.35,10.4,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Zirconia Brick,4.5,2600.0,0.5,2.0,10.0,,,Non,0.0,0.0,0.0,2600.0,0.0,0.0
Zirconia Fiber,2.925,2500.0,0.525,0.16,5.0,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Zirconia Fiber (Yttria Stab),5.2,2500.0,0.5,0.1,10.0,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Zirconia Foam,1.2,2700.0,0.5,1.5,10.0,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Zirconium,6.52,1855.0,0.27,22.0,5.7,,,Non,0.0,0.0,0.0,1855.0,0.0,0.0
Zirconium (702),6.51,1850.0,0.28,22.0,5.8,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zirconium 705,6.64,1850.0,0.28,17.0,6.3,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zirconium Boride (ZrB2),6.09,3245.0,0.35,60.0,6.7,,,Non,0.0,0.0,0.0,3245.0,0.0,0.0
Zirconium Carbide,6.73,3540.0,0.3333333333333333,20.333333333333332,6.7,,,Non,0.0,0.0,0.0,3540.0,0.0,0.0
Zirconium Diboride,6.09,3245.0,0.35,60.0,6.5,,,Non,0.0,0.0,0.0,3245.0,0.0,0.0
Zirconium Diboride (Sintered),6.09,3245.0,0.35,60.0,6.5,,,Non,0.0,0.0,0.0,3245.0,0.0,0.0
Zirconium Hydride,5.6,800.0,0.45,20.0,8.5,,,Non,0.0,0.0,0.0,800.0,0.0,0.0
Zirconium Nitride,7.09,2980.0,0.32499999999999996,21.0,7.2,,,Non,0.0,0.0,0.0,2980.0,0.0,0.0
Zirconium Oxide (Cubic),5.68,2715.0,0.45,2.2,10.5,,,Non,0.0,0.0,0.0,2715.0,0.0,0.0
Zirconium Powder,6.52,1855.0,0.27,22.0,5.7,,20.0,Non,0.0,0.0,0.0,1855.0,12.0,0.0
Zirconium Silicate,4.56,2550.0,0.55,5.1,4.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Zirconium Silicate (Zircon),4.65,2550.0,0.55,5.1,4.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Zirconium Silicide,4.88,1620.0,0.35,18.0,8.5,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0
Zirconium Silicide (ZrSi2),4.88,1620.0,0.35,18.0,8.5,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0
Zirconium(IV) Bromide,4.5,450.0,0.25,0.25,55.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Zirconium(IV) Chloride,2.8,437.0,0.35,0.2,60.0,,,Non,0.0,0.0,0.0,437.0,0.0,0.0
Zirconium(IV) Iodide,4.85,499.0,0.2,0.3,50.0,,,Non,0.0,0.0,0.0,499.0,0.0,0.0
Zirconium-2.5Nb,6.44,1850.0,0.28,17.0,5.9,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Zirconium-Copper (C15000),8.89,1080.0,0.38,360.0,17.1,,,Non,0.0,0.0,0.0,1080.0,0.0,0.0
Zirconium-Tin (Zircaloy),6.55,1850.0,0.28,14.0,6.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
t-Butyl Hydroperoxide,0.89,-3.0,2.3,0.15,,35.0,,,,50.0,0.0,100.0,28.0,
